ind,ponto,ponto,especie,ctMm,cpMm,massaG
1651,9,ponto09,Knodus moenkhausii,38.3,31.1,0.4583
1652,9,ponto09,Knodus moenkhausii,51.5,42,1.1944
1653,9,ponto09,Knodus moenkhausii,36.3,29.2,0.4177
1654,9,ponto09,Knodus moenkhausii,49,3.8,1.145
1655,9,ponto09,Knodus moenkhausii,45.9,37.3,0.7588
1656,9,ponto09,Knodus moenkhausii,47.3,38.4,0.9209
1657,9,ponto09,Knodus moenkhausii,48,38.5,0.9518
1658,9,ponto09,Knodus moenkhausii,46.2,37.6,0.8467
1659,9,ponto09,Knodus moenkhausii,46.1,37.2,0.8365
1660,9,ponto09,Knodus moenkhausii,37.2,30.1,0.4179
1661,9,ponto09,Knodus moenkhausii,32.6,26,0.2584
1662,9,ponto09,Knodus moenkhausii,29.7,23.7,0.2029
1663,9,ponto09,Knodus moenkhausii,20.3,16.7,0.0714
1664,9,ponto09,Knodus moenkhausii,44.1,35.2,0.6301
1665,6,ponto06,Bryconamericus turiuba,58.3,48.1,1.6418
1666,6,ponto06,Characidium zebra,34.3,28.3,0.3183
1667,6,ponto06,Characidium onca,53.4,45.4,1.2151
1668,6,ponto06,Phalloceros harpagos,30.8,24.4,0.2403
1669,6,ponto06,Phalloceros harpagos,23.7,18.4,0.1173
1670,6,ponto06,Psalidodon gr. fasciatus,40,31.7,0.6322
1671,6,ponto06,Psalidodon gr. fasciatus,48.9,39.3,1.1351
1672,6,ponto06,Psalidodon gr. fasciatus,44.6,36.2,0.7725
1673,6,ponto06,Psalidodon gr. fasciatus,61.8,50.5,2.6428
1674,6,ponto06,Microlepidogaster longicolla,42.9,34.1,0.4461
1675,6,ponto06,Microlepidogaster longicolla,44.4,34.8,0.501
1676,6,ponto06,Microlepidogaster longicolla,46,37.4,0.6619
1677,6,ponto06,Microlepidogaster longicolla,41.9,32.9,0.435
1678,6,ponto06,Knodus moenkhausii,37.7,31.4,0.4682
1679,6,ponto06,Knodus moenkhausii,32,25.8,0.2333
1680,6,ponto06,Knodus moenkhausii,34.3,27.8,0.2944
1681,6,ponto06,Knodus moenkhausii,30.2,24.8,0.2229
1682,6,ponto06,Knodus moenkhausii,28.8,23.3,0.1673
1683,6,ponto06,Knodus moenkhausii,23.7,19.2,0.0865
1684,6,ponto06,Neoplecostomus corumba,66.9,53.3,2.221
1685,6,ponto06,Neoplecostomus corumba,77.3,61.7,3.8905
1686,6,ponto06,Neoplecostomus corumba,86.8,68.1,5.7538
1687,6,ponto06,Neoplecostomus corumba,77.9,60.4,3.488
1688,6,ponto06,Hypostomus crulsi,56.3,42.3,2.1268
1689,6,ponto06,Hypostomus crulsi,56.3,43.6,2.1849
1690,6,ponto06,Hypostomus crulsi,72.4,55.5,4.465
1691,6,ponto06,Hypostomus crulsi,101.7,74,11.2471
1692,27,ponto27,Gymnotus sylvius,69.4,65.5,1.5028
1693,27,ponto27,Gymnotus sylvius,84.5,76.3,1.9475
1694,27,ponto27,Gymnotus sylvius,74.8,68.2,1.3401
1695,27,ponto27,Gymnotus sylvius,105.1,92.6,3.6002
1696,43,ponto43,Hypostomus crulsi,64,47.1,3.2361
1697,43,ponto43,Hypostomus crulsi,79.3,59.3,5.2913
1698,43,ponto43,Hypostomus crulsi,67.5,52.2,3.802
1699,43,ponto43,Hypostomus crulsi,57.6,43.8,2.1574
1700,43,ponto43,Hypostomus crulsi,80.7,60.4,5.7742
1701,43,ponto43,Hypostomus crulsi,88.3,66.8,6.8028
1702,43,ponto43,Hypostomus crulsi,81.1,62.1,6.8142
1703,18,ponto18,Psalidodon gr. fasciatus,73.3,59.2,3.9632
1704,18,ponto18,Psalidodon gr. fasciatus,44.8,35.8,0.7357
1705,18,ponto18,Psalidodon gr. fasciatus,55.7,44.9,1.5294
1706,18,ponto18,Psalidodon gr. fasciatus,39.3,31.5,0.5643
1707,18,ponto18,Psalidodon gr. fasciatus,50.4,41,1.2893
1708,18,ponto18,Psalidodon gr. fasciatus,76.4,60.8,4.7664
1709,18,ponto18,Psalidodon gr. fasciatus,38.3,31.2,0.5305
1710,18,ponto18,Psalidodon gr. fasciatus,40.4,33,0.6031
1711,18,ponto18,Psalidodon gr. fasciatus,59.6,49.2,1.8527
1712,18,ponto18,Psalidodon gr. fasciatus,53.5,43.2,1.4613
1713,18,ponto18,Psalidodon gr. fasciatus,57.7,47.2,1.8623
1714,18,ponto18,Psalidodon gr. fasciatus,61.3,49.8,2.6511
1715,18,ponto18,Psalidodon gr. fasciatus,46.4,37.6,0.0539
1716,18,ponto18,Psalidodon gr. fasciatus,50.8,40.6,1.3124
1717,18,ponto18,Psalidodon gr. fasciatus,52,42.9,1.4465
1718,18,ponto18,Psalidodon gr. fasciatus,67.8,54.9,2.9824
1719,18,ponto18,Psalidodon gr. fasciatus,57.9,71.2,3.5884
1720,18,ponto18,Psalidodon gr. fasciatus,50.8,63.5,2.3277
1721,18,ponto18,Psalidodon gr. fasciatus,32.2,26.1,0.3083
1722,18,ponto18,Psalidodon gr. fasciatus,67.6,54.6,3.7187
1723,18,ponto18,Psalidodon gr. fasciatus,39.9,32.2,0.6593
1724,18,ponto18,Psalidodon gr. fasciatus,37.1,29.9,0.4344
1725,18,ponto18,Psalidodon gr. fasciatus,55.8,46.2,1.9551
1726,18,ponto18,Psalidodon gr. fasciatus,51.8,40.9,1.2319
1727,18,ponto18,Psalidodon gr. fasciatus,59.7,48.2,2.1774
1728,18,ponto18,Psalidodon gr. fasciatus,48.2,38.2,0.9635
1729,18,ponto18,Psalidodon gr. fasciatus,54,43.7,1.7377
1730,18,ponto18,Psalidodon gr. fasciatus,53.2,43.2,1.2784
1731,18,ponto18,Psalidodon gr. fasciatus,36.9,29.4,0.506
1732,18,ponto18,Psalidodon gr. fasciatus,47.8,37.8,0.998
1733,18,ponto18,Psalidodon gr. fasciatus,56.1,45.4,1.6083
1734,18,ponto18,Psalidodon gr. fasciatus,34.3,27.6,0.3647
1735,18,ponto18,Psalidodon gr. fasciatus,33.6,26.9,0.3724
1736,18,ponto18,Psalidodon gr. fasciatus,43.6,36.8,0.9916
1737,18,ponto18,Psalidodon gr. fasciatus,33.9,27.1,0.3734
1738,18,ponto18,Psalidodon gr. fasciatus,48.8,38.2,1.1196
1739,18,ponto18,Psalidodon gr. fasciatus,38.1,30.7,0.5181
1740,18,ponto18,Psalidodon gr. fasciatus,40.6,33.4,0.66
1741,18,ponto18,Psalidodon gr. fasciatus,46.8,37.7,0.9941
1742,18,ponto18,Psalidodon gr. fasciatus,62.7,51.1,2.6326
1743,18,ponto18,Psalidodon gr. fasciatus,33.2,26.9,0.3667
1744,18,ponto18,Psalidodon gr. fasciatus,33.2,26.6,0.3281
1745,18,ponto18,Psalidodon gr. fasciatus,60.1,49,2.0506
1746,18,ponto18,Psalidodon gr. fasciatus,70,56.1,3.979
1747,18,ponto18,Psalidodon gr. fasciatus,55.7,44.6,1.7
1748,18,ponto18,Psalidodon gr. fasciatus,59.5,49.1,2.0233
1749,18,ponto18,Psalidodon gr. fasciatus,73.1,59.3,4.1758
1750,18,ponto18,Psalidodon gr. fasciatus,54.6,45.4,1.831
1751,18,ponto18,Psalidodon gr. fasciatus,39.9,32.9,0.788
1752,18,ponto18,Psalidodon gr. fasciatus,52.6,42.7,1.3782
1753,18,ponto18,Psalidodon gr. fasciatus,29.9,24,2.2444
1754,18,ponto18,Psalidodon gr. fasciatus,26.2,23.2,0.2136
1755,18,ponto18,Psalidodon gr. fasciatus,60.6,49.6,2.4624
1756,18,ponto18,Psalidodon gr. fasciatus,63.6,52.5,2.3299
1757,18,ponto18,Psalidodon gr. fasciatus,51.7,42.5,1.253
1758,18,ponto18,Psalidodon gr. fasciatus,35.7,28,0.4781
1759,18,ponto18,Psalidodon gr. fasciatus,51.5,41.7,1.3741
1760,18,ponto18,Psalidodon gr. fasciatus,72.8,58.9,4.4557
1761,18,ponto18,Psalidodon gr. fasciatus,61.3,50.6,2.8231
1762,18,ponto18,Psalidodon gr. fasciatus,71.6,59.1,4.2507
1763,18,ponto18,Psalidodon gr. fasciatus,31.2,26.3,0.2946
1764,18,ponto18,Psalidodon gr. fasciatus,75.4,62,4.7706
1765,18,ponto18,Psalidodon gr. fasciatus,72,58.8,7.4527
1766,18,ponto18,Psalidodon gr. fasciatus,57,47.2,1.963
1767,18,ponto18,Psalidodon gr. fasciatus,63.7,51.8,2.6598
1768,18,ponto18,Microlepidogaster longicolla,20.9,18.5,0.064
